model_type,top_fault_1,top_fault_2,top_fault_3,top_pct_1,top_pct_2,top_pct_3
D155A-6R,coolant+decrease in quantity,rail press low error,coolant+overheat,17.73,11.18,10.4
D21PL-8,komtrax gps antenna cable+open circuit,,,100.0,,
D31EX-22,komtrax gps antenna cable+open circuit,water in fuel sensor high error,chg air press sensor low error,27.76,12.34,6.68
D31PX-22,komtrax gps antenna cable+open circuit,rail press low error,water in fuel sensor high error,23.19,9.66,9.66
D375A-5,high r cyl. exhaust temp.,very high r cyl. exhaust temp.,high f cyl. exhaust temp.,14.21,14.04,10.1
D375A-6,very high rb cyl. exhaust temp.,high rb cyl. exhaust temp.,very high lb cyl. exhaust temp.,13.59,13.45,8.55
D375A-6R,komtrax gps antenna cable+open circuit,,,100.0,,
D39EX-22,back-up alarm buzzer+short circuit,,,100.0,,
D39PX-22,water in fuel sensor high error,komtrax gps antenna cable+open circuit,air cleaner element+clogging,26.15,23.08,13.85
D65E-12,komtrax gps antenna cable+open circuit,,,100.0,,
D65P-12,komtrax gps antenna cable+open circuit,,,100.0,,
GD511A-1,komtrax gps antenna cable+open circuit,,,100.0,,
GD535-5,water in fuel sensor high error,tm shift lever+open circuit,rail press low error,22.07,8.7,7.36
GD705-5,water in fuel sensor high error,hydraulic fan speed sensor+deterioration,tm shift lever+open circuit,23.61,8.82,8.53
GD755-5R,tm shift lever+open circuit,tm mount+overheat,hydraulic fan speed sensor+rotating speed signal doesnt match,17.6,8.21,7.62
GD825A-2,komtrax gps antenna cable+open circuit,,,100.0,,
GD955-7R,grease+shortage,steering angle sensor+analog signal doesnt match,auto grease controller assy+on/off signal doesnt match,7.51,4.69,3.76
HB205-1,g/p controller can communication+malfunction,monitor controller can communicaton+malfunction,travel neutral solenoid valve+open circuit,22.22,22.22,22.22
HB365-1,engine oil+decrease in quantity,hb swing emergency stop switch+operation,ventilating sensor+open circuit,10.35,5.45,5.18
HB365LC-1,air cleaner clogging sensor(1)+open circuit,air cleaner element+clogging,hb swing emergency stop switch+operation,40.91,40.91,18.18
HD1500-8,neutral coast caution+operation,"komtrax plus,ethernet comm 2+communication error (compo line)",neutral over speed caution+operation,23.53,13.45,13.45
HD465-7,high f cyl. exhaust temp.2,high f cyl. exhaust temp.1,r exhaust temp. sensor failure,12.86,11.37,8.6
HD785-7,drop in accumulator oil pressure (rear),drop in accumulator oil pressure (front),very high rbr cyl. exhaust temp,12.82,10.35,7.67
HD785-8R,engine exhaust temp sensor(fl)+short circut of power source line,neutral coast caution+operation,camera controller+controller inside failure,15.69,15.69,9.8
HM400-3R,neutral over speed caution+operation,neutral coast caution+operation,cac fan speed sensor+deterioration,12.87,9.94,5.89
PC1250-11R,"komtrax plus,ethernet comm 2+communication error (compo line)",hydraulic fan speed sensor+deterioration,hydraulic gear pump+eng condition and signal not match,10.92,7.26,5.99
PC1250-8,high blowby pressure,blowby pres. sensor failure,f pump press sensor abnormality,17.65,11.55,10.89
PC130F-7,engine speed sensor+defective function,komtrax gps antenna cable+open circuit,feedback potentiometer+open circut or short circuit,16.78,13.8,8.7
PC135F-10M0,engine oil+decrease in quantity,eng.blow-by pressure+pressure high error,eng oil press sw error,9.03,7.98,6.16
